"relative_path","bytes","lines","hash_sha1","is_binary","read_error","created_utc","modified_utc"
"adapters\__init__.py","1","2","ADC83B19E793491B1C6EA0FD8B46CD9F32E592FC","False","False","2025-10-27T04:39:38Z","2025-10-18T00:39:42Z"
"adapters\ai\__init__.py","0","1","DA39A3EE5E6B4B0D3255BFEF95601890AFD80709","False","False","2025-10-27T04:39:26Z","2025-10-24T21:16:38Z"
"adapters\ai\vlm.py","2626","74","2B566DDAB0B21D387CDD5F656964B5B7E9DED3E6","False","False","2025-10-27T04:39:38Z","2025-10-25T01:17:27Z"
"adapters\audio\__init__.py","2","2","BA8AB5A0280B953AA97435FF8946CBCBB2755A27","False","False","2025-10-27T04:39:38Z","2025-10-21T18:01:53Z"
"adapters\audio\ai_helpers.py","6397","178","49B927C28E60E46719B95E3A72C194A57C9614E0","False","False","2025-10-27T04:39:38Z","2025-10-26T20:50:42Z"
"adapters\audio\ai_mode_detector.py","1668","47","57D0FA0F8B170615CA427A6BBBAFDB239648FFF5","False","False","2025-10-27T04:39:38Z","2025-10-25T02:29:15Z"
"adapters\audio\fake_mode_detector.py","3162","86","21CEE495C7C2FAEB42B55856A66F999DB4F289E2","False","False","2025-10-27T04:39:38Z","2025-10-26T19:23:19Z"
"adapters\audio\chained_detector.py","1964","55","A87CCAFAED3DB9963E933A111362196A1804FC7B","False","False","2025-10-27T04:39:38Z","2025-10-26T19:22:47Z"
"adapters\audio\steps.py","2564","68","30C6AE82B3CF56DAC74AF25884CB65EF15E4A6B5","False","False","2025-10-27T04:39:38Z","2025-10-26T19:22:08Z"
"adapters\audio\wav_reader.py","3587","79","5DE28744FE0C7DE80584D121004D76F5BCB0E913","False","False","2025-10-27T04:39:38Z","2025-10-24T21:13:10Z"
"adapters\filesystem\__init__.py","1","2","ADC83B19E793491B1C6EA0FD8B46CD9F32E592FC","False","False","2025-10-27T04:39:38Z","2025-10-18T00:39:45Z"
"adapters\filesystem\file_discovery.py","2710","80","DDE30A44EC20ACBD050FEDBF2FEC82B840B589D5","False","False","2025-10-27T04:39:38Z","2025-10-23T23:28:15Z"
"adapters\pdf\__init__.py","0","1","DA39A3EE5E6B4B0D3255BFEF95601890AFD80709","False","False","2025-10-27T04:39:26Z","2025-10-24T21:16:00Z"
"adapters\pdf\renderer.py","1016","33","F2D90CE4877BB41022980D630F9F4A6128A1AF51","False","False","2025-10-27T04:39:38Z","2025-10-24T00:14:19Z"
